Age,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Gender_Male,Loyal Customer,Business Travel,satisfied
26,3,2062,2,3,3,3,2,2,2,2,3,3,3,3,3,2,0,0,0,1,1,0
52,3,680,5,5,5,5,3,4,4,4,4,4,4,4,4,4,18,2,0,1,1,1
28,1,188,3,5,3,4,3,3,3,3,3,3,4,4,5,3,0,0,1,1,0,0
54,3,453,3,5,5,5,3,4,4,3,3,3,3,4,3,1,91,80,0,1,1,0
40,1,775,4,3,3,3,4,4,4,4,1,1,3,3,3,4,0,0,1,1,1,0
79,3,2727,5,1,1,1,4,4,4,5,5,4,5,2,5,3,0,0,0,1,1,0
41,1,1192,2,4,2,3,3,2,3,3,4,1,3,4,4,3,2,0,0,1,0,0
24,3,1506,0,0,0,4,4,0,4,4,4,2,5,3,4,4,0,0,0,0,1,1
49,1,680,5,5,5,5,5,5,5,5,2,4,1,2,3,5,0,0,1,1,1,1
40,1,488,2,4,2,2,4,2,2,4,3,5,4,4,5,4,1,0,0,1,0,0
59,1,802,3,2,3,4,5,3,5,5,3,1,3,3,4,5,4,0,1,1,0,0
40,3,3797,2,1,1,1,1,2,2,2,2,2,2,2,2,3,1,0,1,1,1,0
21,3,1075,5,0,5,1,2,5,2,2,5,3,4,5,4,2,0,0,0,0,1,1
57,3,2938,4,4,5,4,4,4,5,2,2,2,2,4,2,4,9,13,1,1,1,1
28,1,971,3,3,3,3,2,3,2,2,1,1,3,3,3,2,0,0,0,0,1,0
25,3,2744,3,3,3,3,5,4,5,5,5,5,5,4,5,5,5,0,1,1,1,1
41,2,1075,4,1,1,1,5,4,5,5,4,3,4,2,1,5,0,0,1,1,1,1
22,2,228,3,4,3,3,3,3,5,3,5,3,4,4,3,3,4,34,1,1,0,0
49,3,3982,4,3,3,3,1,3,3,4,4,4,4,4,4,3,0,3,0,1,1,0
29,1,404,2,3,2,1,2,2,5,2,4,3,4,2,5,2,11,9,0,1,0,0
48,1,991,2,4,2,2,4,2,4,4,3,3,5,4,5,4,0,0,1,1,0,0
9,2,351,3,3,3,2,2,3,3,2,1,1,2,4,3,2,20,28,0,1,0,0
49,3,1096,3,3,3,3,2,4,4,4,4,4,4,5,4,4,40,43,0,1,1,1
49,3,1514,2,2,2,2,1,3,4,2,2,2,2,3,2,3,0,7,1,1,1,0
30,1,302,2,5,2,5,4,2,4,4,5,2,1,3,2,4,0,0,1,0,1,0
42,1,187,4,4,0,1,3,0,3,3,4,2,4,4,4,3,4,0,1,1,0,0
17,1,1184,2,4,2,1,3,2,3,3,5,3,5,4,4,3,0,0,1,1,0,0
32,3,680,2,2,2,3,3,2,1,3,4,4,4,3,4,3,0,0,0,0,1,0
44,2,128,4,4,3,4,4,4,4,4,4,3,3,4,4,4,3,0,1,1,1,0
27,3,280,1,1,1,1,4,4,4,4,5,3,5,4,4,4,0,0,0,1,1,1
43,2,239,1,2,5,2,1,1,1,1,3,4,4,3,3,1,0,0,1,1,1,0
28,1,621,1,3,1,4,3,1,3,3,4,2,2,5,2,3,26,19,1,1,0,0
46,3,1440,5,5,5,5,2,5,4,4,4,4,4,4,4,5,4,0,1,1,1,1
37,3,574,2,2,2,2,5,4,1,4,4,4,4,1,4,3,7,2,1,1,1,1
25,1,626,1,1,1,2,4,1,4,4,4,1,2,3,2,4,43,35,0,1,0,0
24,1,1276,3,3,3,4,1,3,1,1,3,5,5,5,4,1,0,0,0,0,1,0
53,3,328,0,0,0,4,2,5,4,5,5,5,5,3,5,4,0,0,1,1,1,1
23,3,746,0,0,0,3,4,0,4,4,5,3,5,4,4,4,4,0,0,0,1,1
12,1,546,1,1,1,2,2,1,2,2,4,3,3,1,2,2,0,18,1,1,0,0
33,3,1735,4,4,4,4,3,4,4,5,5,4,5,4,5,4,0,0,0,1,1,1
40,1,224,1,2,5,5,1,1,1,1,2,2,4,4,4,1,0,7,1,1,1,0
41,3,2783,0,0,0,1,5,4,4,3,3,3,3,5,3,5,0,4,0,1,1,1
10,1,1009,0,2,0,3,4,0,4,4,1,3,4,2,3,4,0,0,1,1,0,1
42,1,404,4,4,4,5,2,4,3,2,4,4,1,5,4,2,10,4,0,0,1,0
7,3,1514,1,5,5,5,1,1,1,1,2,2,3,4,3,1,0,0,1,1,1,0
52,3,1090,5,5,5,5,2,4,5,4,4,4,4,5,4,5,0,0,1,1,1,1
15,1,562,4,5,4,3,3,4,3,3,4,5,4,1,3,3,0,0,0,0,1,1
24,1,202,4,0,4,3,3,4,3,3,1,5,1,3,2,3,0,0,0,0,1,0
52,3,585,1,1,1,1,4,4,4,4,4,4,4,3,4,5,0,3,1,1,1,1
65,1,451,4,5,4,3,3,5,4,1,1,4,5,3,1,5,83,84,0,1,0,0
28,1,991,3,5,3,4,2,3,2,2,3,4,5,5,5,2,0,0,0,1,0,0
20,1,1034,0,5,0,2,5,0,5,5,5,2,1,3,2,5,0,0,0,1,1,1
34,1,1608,3,5,3,3,1,3,2,1,3,3,3,5,4,1,0,0,1,1,0,0
31,1,678,4,4,4,3,5,4,5,5,5,2,4,5,5,5,0,0,0,1,0,0
26,3,2075,5,1,5,5,4,4,4,4,3,5,3,4,4,4,15,0,0,1,1,1
57,1,321,4,5,5,4,4,2,4,2,2,5,2,3,2,5,0,0,0,1,0,0
39,1,590,1,3,1,1,5,1,4,5,3,4,4,3,3,5,0,9,1,1,0,0
52,1,1156,1,4,1,4,2,4,4,4,4,1,4,2,4,2,2,0,0,1,0,0
26,1,253,3,0,3,4,3,3,3,3,3,5,2,4,5,3,48,34,1,0,1,0
57,3,2973,5,5,5,5,5,4,5,4,4,4,4,5,4,5,0,2,1,1,1,1
30,1,323,3,3,3,3,1,3,1,1,5,1,1,4,3,1,0,0,1,1,0,0
56,2,109,5,1,3,1,2,3,1,5,5,5,5,4,5,2,31,28,0,1,1,1
8,3,1620,3,3,3,3,2,2,2,2,5,5,3,3,4,2,2,0,1,1,1,1
42,3,3648,5,5,5,5,2,4,5,4,4,4,4,3,4,4,4,3,1,1,1,1
57,3,1635,1,1,1,1,3,4,5,4,4,4,4,4,4,4,0,0,0,1,1,1
53,3,1504,3,3,3,3,2,5,4,3,3,3,3,3,3,3,32,10,1,1,1,1
44,3,1464,2,3,3,3,4,2,2,2,2,1,2,3,2,2,0,0,1,1,1,0
60,3,1624,3,2,2,2,1,4,3,3,3,3,3,2,3,3,0,0,0,1,1,0
59,3,2021,3,3,3,3,5,4,4,4,4,4,4,5,4,5,0,0,1,1,1,1
36,3,2724,3,3,3,3,3,2,5,5,5,5,3,4,5,5,0,0,0,1,1,1
69,1,2239,1,4,1,3,5,1,5,5,3,2,3,3,5,5,3,0,1,1,0,0
30,3,1546,2,3,3,3,2,2,2,2,4,2,4,1,4,2,0,4,1,1,1,0
28,3,1337,3,3,3,3,4,4,4,4,5,4,4,5,5,4,0,0,1,1,1,1
39,3,197,3,4,4,4,3,3,3,2,2,2,3,3,2,1,14,5,1,1,1,0
22,3,1674,5,5,5,5,5,5,5,5,1,2,4,5,4,5,1,29,1,1,1,1
23,1,371,3,2,3,2,5,3,5,5,4,5,1,2,2,5,9,6,0,1,0,0
57,3,187,1,1,1,1,3,4,1,4,4,4,4,3,4,1,51,44,0,1,1,1
58,3,479,1,1,1,1,4,4,5,3,3,4,3,5,3,4,2,0,1,1,1,1
41,2,813,3,3,3,3,3,3,3,3,4,5,4,1,3,3,65,67,1,1,1,0
29,1,622,4,4,4,3,5,4,5,5,4,5,3,2,3,5,0,0,1,0,1,0
25,3,813,5,5,5,1,5,5,5,5,4,2,5,4,5,5,0,0,1,0,1,1
44,1,1068,2,5,2,5,2,2,2,2,3,5,3,4,4,2,0,7,1,1,1,0
34,3,3141,3,3,3,3,4,4,4,3,4,4,4,4,3,4,164,143,0,1,1,1
62,1,1009,2,5,2,3,5,2,4,5,3,3,5,3,5,5,28,24,1,1,0,0
51,3,3382,3,3,5,3,5,5,5,4,4,4,4,5,4,4,0,0,1,1,1,1
39,3,528,2,2,3,2,2,5,5,5,5,5,5,4,5,4,0,0,1,1,1,1
47,1,125,3,1,1,1,1,3,1,3,3,3,3,3,3,5,26,35,0,1,1,1
26,3,491,4,4,4,4,4,4,4,4,5,4,4,3,5,4,15,4,1,1,1,1
59,1,1979,3,5,3,3,5,5,5,5,5,3,5,2,5,5,0,0,0,1,0,0
16,1,957,2,4,4,4,2,2,4,2,3,1,4,3,4,2,0,0,1,1,1,0
51,2,1097,4,5,5,5,4,4,4,4,5,4,1,4,3,4,0,0,1,1,1,1
34,1,757,2,5,2,3,4,2,4,4,5,5,5,4,4,4,0,0,0,1,0,0
27,1,1068,3,3,3,3,2,3,2,2,2,4,4,1,4,2,0,9,0,0,1,0
63,1,209,2,2,2,2,2,2,2,2,2,2,3,2,2,2,31,48,1,1,1,0
59,3,1626,1,1,1,1,5,5,4,5,5,5,5,3,5,4,3,7,0,1,1,1
30,1,413,3,2,3,3,3,3,3,3,2,3,4,3,3,3,0,0,0,1,0,0
30,1,866,4,2,2,2,4,4,4,4,4,4,2,1,4,4,5,0,0,1,1,1
54,1,2239,3,2,2,2,3,3,3,3,3,1,4,3,3,3,0,6,1,1,1,0
28,3,3841,3,3,3,3,4,4,4,4,2,4,2,4,1,4,0,0,1,1,1,1
17,3,2595,5,5,5,5,4,4,4,4,3,2,4,3,5,4,0,0,1,1,1,1
43,3,2605,2,4,4,4,1,3,3,2,2,2,2,3,2,3,0,0,0,1,1,0
49,3,2952,3,3,3,3,3,4,5,2,2,2,2,4,2,1,0,1,0,1,1,1
60,2,1009,1,2,1,3,5,1,5,5,4,1,4,3,4,5,0,0,1,1,0,0
32,1,944,2,5,1,4,5,1,4,5,3,2,3,3,3,5,31,35,0,1,0,0
58,1,302,4,4,4,4,4,4,4,4,3,2,5,5,1,4,54,53,1,1,1,1
51,3,1743,3,3,3,3,3,4,4,4,4,4,4,4,4,5,0,0,0,1,1,1
40,3,448,1,1,1,1,4,2,5,4,4,4,4,1,4,4,0,9,0,1,1,1
22,1,992,1,0,0,1,4,0,4,4,5,3,4,3,4,4,21,18,1,0,1,0
54,2,628,5,1,1,1,5,3,1,5,5,5,5,2,5,2,2,0,0,1,1,1
58,1,280,1,4,1,1,3,5,4,5,5,1,5,4,5,4,9,38,0,1,0,0
65,3,1042,4,5,4,4,3,5,4,4,4,4,2,5,4,5,48,30,0,1,0,0
48,3,4000,2,2,2,2,5,5,4,5,5,5,5,3,5,5,0,0,0,1,1,1
60,3,2771,1,4,4,4,2,4,4,1,1,2,1,3,1,2,0,0,1,1,1,0
22,1,337,0,0,0,1,3,0,3,3,5,4,1,1,1,3,18,33,1,0,1,1
26,3,1874,3,3,3,3,4,4,4,4,4,3,4,5,2,4,0,0,1,1,1,1
34,1,738,3,3,3,3,2,3,2,2,1,5,3,2,3,2,0,9,1,0,1,0
26,3,1127,2,2,2,2,4,5,4,4,3,5,4,3,5,4,0,6,0,1,1,1
49,2,1009,3,2,2,2,5,4,3,4,4,3,4,2,4,1,7,14,0,1,1,0
12,1,546,4,4,4,4,1,4,1,1,5,5,5,2,4,1,0,0,0,1,0,0
36,3,748,1,1,1,5,5,1,1,5,3,2,5,5,4,5,0,0,1,0,1,0
54,1,227,3,4,3,3,3,4,4,3,3,3,3,5,3,5,0,6,0,1,0,0
38,1,707,1,1,1,2,3,1,3,3,5,1,1,3,1,3,0,0,0,0,1,0
53,3,2235,3,3,3,3,5,4,5,4,4,4,4,4,4,5,0,3,1,1,1,1
48,3,1726,1,1,1,1,3,3,5,2,2,2,2,5,2,3,0,0,0,1,1,1
54,2,684,1,1,1,4,5,3,3,4,4,1,4,1,4,3,26,29,0,1,0,0
43,1,192,4,4,4,4,4,4,4,4,1,4,2,4,1,4,0,0,1,1,1,0
12,1,442,1,4,1,3,2,1,2,2,1,4,2,2,4,2,0,0,1,1,0,0
10,1,802,4,4,4,4,4,4,5,4,3,2,4,4,5,4,0,0,1,1,0,0
39,3,1884,1,1,1,1,2,4,4,5,5,5,5,3,5,3,6,13,1,1,1,1
72,1,308,3,1,1,1,3,3,3,3,3,3,3,2,3,3,53,50,0,1,1,0
54,1,259,1,5,1,1,1,1,2,2,2,1,2,5,2,2,0,4,0,1,0,0
44,3,1990,2,3,3,3,2,3,3,2,2,2,2,1,2,4,99,92,0,1,1,0
49,1,920,3,4,3,5,4,4,4,4,4,3,4,5,4,4,0,0,0,1,0,0
56,3,3296,3,1,1,1,1,3,2,3,3,3,3,2,3,1,24,20,0,1,1,0
30,1,655,2,0,3,1,3,3,2,3,1,4,5,5,5,3,0,0,1,1,0,0
36,3,2565,3,2,2,2,2,2,2,2,5,3,5,4,4,2,4,0,1,0,1,0
38,1,129,4,3,4,1,2,4,2,2,1,5,4,4,3,2,0,0,0,0,1,0
24,1,920,3,4,3,4,3,3,3,3,5,4,5,3,4,3,0,4,1,1,0,0
48,3,631,2,2,2,2,2,4,4,4,4,4,4,3,4,5,12,129,0,1,1,1
54,3,2484,2,2,2,2,4,4,5,4,4,4,4,5,4,3,0,0,0,1,1,1
54,3,2129,2,3,3,3,4,3,4,2,2,2,2,2,2,2,84,77,1,1,1,0
12,1,1096,1,4,1,3,1,1,1,1,4,4,3,3,4,1,0,0,0,1,0,0
46,3,2139,5,5,5,5,4,5,4,4,4,5,4,4,4,3,118,127,0,1,1,1
70,3,550,2,0,2,2,3,4,4,5,5,2,2,4,5,5,0,0,0,1,0,0
64,3,224,5,5,5,5,3,4,4,4,4,4,4,3,4,4,0,0,0,1,1,1
9,3,2288,4,4,4,4,4,4,4,4,5,3,3,4,4,4,0,0,1,1,1,1
63,2,115,4,1,1,1,4,4,4,4,4,4,4,4,4,4,0,2,1,1,1,1
18,1,1041,4,4,4,1,4,4,4,4,4,5,4,3,4,4,0,0,1,0,1,1
10,1,2556,1,5,2,1,2,2,2,2,3,3,3,4,5,2,12,0,1,1,0,0
27,3,1134,2,2,2,4,1,2,1,1,2,2,3,3,4,1,11,21,1,0,1,0
25,3,304,4,0,4,2,5,4,5,5,3,5,4,5,4,5,10,0,0,0,1,0
51,1,2556,1,2,2,2,1,1,1,1,5,4,4,1,3,1,0,7,0,1,1,0
36,1,312,1,4,1,2,4,1,5,4,5,5,5,4,4,4,0,0,1,1,0,0
71,3,431,3,5,5,5,4,3,2,3,3,2,3,4,3,3,0,0,0,1,1,0
35,1,311,3,5,5,3,1,5,1,1,4,4,5,5,4,1,0,0,1,1,0,0
40,3,2077,2,2,2,2,3,4,4,4,4,4,4,4,4,4,0,0,1,1,1,1
60,1,491,1,3,1,3,5,1,5,5,3,2,2,5,1,5,22,49,1,1,0,0
69,3,2134,1,1,1,1,4,2,3,4,4,4,4,5,4,3,0,0,1,1,1,1
37,1,226,2,1,1,1,2,2,2,2,3,4,4,1,4,2,1,14,1,1,1,0
56,3,1852,2,2,2,2,5,1,4,4,4,5,4,4,4,1,66,56,1,1,1,1
42,3,731,4,3,3,2,2,4,2,2,5,4,5,5,4,2,0,5,1,0,1,1
20,3,650,5,0,5,4,1,5,1,1,4,4,5,4,4,1,63,116,0,0,1,1
20,1,153,3,3,2,3,5,2,1,5,2,1,5,2,1,5,0,0,1,0,1,0
38,3,1710,3,3,3,3,4,3,3,4,4,4,4,2,4,4,16,19,0,1,1,1
47,1,1874,2,5,4,5,4,4,3,2,2,2,2,2,2,5,15,0,0,1,1,1
47,1,1056,3,4,3,3,4,3,4,4,4,1,4,4,3,4,0,0,1,1,0,0
60,3,3694,4,4,4,4,4,5,4,5,5,5,5,4,5,3,35,27,0,1,1,1
52,1,748,0,5,0,1,3,5,4,4,4,0,4,5,4,5,0,0,0,1,0,1
45,2,406,1,5,5,5,1,1,1,1,1,3,4,1,3,1,2,1,1,1,1,0
68,3,1024,3,5,3,1,4,4,4,2,2,3,2,4,2,4,0,0,0,1,0,0
24,1,448,3,0,3,2,2,3,4,2,1,4,4,1,4,2,2,9,1,0,1,0
45,3,1833,2,2,2,2,4,2,3,2,2,2,2,5,2,4,69,99,0,1,1,1
25,1,277,2,1,2,3,4,2,3,4,2,1,3,1,3,4,0,0,1,1,0,0
24,3,1476,5,5,5,5,5,5,5,5,1,1,3,5,3,5,3,2,0,1,1,1
29,1,710,1,1,1,3,3,1,3,3,2,3,3,1,4,3,0,0,1,0,1,0
55,3,2565,2,2,2,2,5,4,4,5,4,3,5,4,3,4,0,0,0,1,1,1
11,2,956,1,4,4,4,1,1,3,1,1,4,3,4,3,1,0,0,0,1,1,0
42,1,447,3,4,4,2,1,4,1,1,3,4,5,4,5,1,0,0,1,1,0,0
51,3,404,5,5,5,5,2,4,5,5,5,5,5,4,5,3,0,0,1,1,1,1
18,1,868,5,1,4,4,5,4,2,5,1,2,4,2,3,5,99,116,1,1,0,1
57,1,86,5,3,3,3,5,5,5,5,3,5,5,3,4,5,5,18,1,1,1,1
29,2,1546,3,4,3,1,4,3,4,4,3,4,4,5,4,4,8,0,1,1,0,0
16,1,545,4,3,3,3,4,4,3,4,2,1,3,1,3,4,104,114,0,1,1,0
67,1,406,2,5,2,3,4,5,4,2,2,2,2,3,2,5,4,14,0,1,0,0
38,3,2710,5,5,5,5,4,4,5,4,4,4,4,5,4,3,0,0,0,1,1,1
47,2,763,1,5,0,5,4,5,4,2,2,0,2,3,2,4,0,0,0,1,0,0
17,1,409,2,4,2,3,5,2,5,5,4,4,5,5,5,5,0,0,1,1,0,0
27,3,1050,2,2,2,3,3,2,1,3,3,5,4,4,5,3,0,0,1,0,1,0
43,1,74,4,5,5,5,4,4,3,4,4,4,4,4,4,3,0,0,0,1,1,0
36,1,642,1,0,1,3,5,1,2,5,5,2,4,2,4,5,4,0,0,0,1,0
56,1,331,4,3,3,3,4,4,4,4,1,5,4,5,5,4,0,0,1,1,1,1
11,1,634,4,4,4,4,1,4,1,1,3,2,4,3,4,1,0,4,1,1,0,1
14,1,532,3,4,3,1,1,3,1,1,5,3,5,3,5,1,0,0,0,1,0,0
30,3,1531,2,2,2,2,5,5,5,5,4,3,5,3,5,5,33,25,0,1,1,1
62,1,1488,3,5,3,4,5,3,5,5,1,1,5,1,2,5,0,0,1,1,0,0
38,1,323,1,2,1,3,4,1,1,4,4,2,4,2,4,4,0,0,1,1,0,0
23,1,628,3,3,3,4,3,3,3,3,2,2,4,4,3,3,0,0,0,0,1,0
56,1,1846,2,2,2,3,1,2,3,5,5,2,5,1,5,1,24,26,0,1,0,0
59,1,429,2,2,2,2,3,2,3,3,1,3,3,3,2,3,19,14,1,0,1,0
45,3,1670,5,5,5,5,2,4,5,4,4,4,4,4,4,3,0,0,0,1,1,1
49,3,2974,2,2,2,2,5,4,4,4,4,4,4,3,4,4,4,0,0,1,1,1
45,3,1464,3,3,3,3,2,5,4,5,5,5,5,4,5,4,2,4,1,1,1,1
28,3,448,1,1,1,4,3,1,3,3,5,4,4,3,5,3,9,6,0,0,1,0
57,3,696,4,4,4,4,3,5,4,4,4,4,4,4,4,3,26,24,0,1,1,1
32,1,541,2,4,2,3,2,2,5,2,4,4,3,3,5,2,0,0,1,1,0,0
25,2,628,5,2,2,2,5,5,4,5,2,2,1,4,3,5,0,2,1,1,1,1
33,1,677,4,4,4,4,1,4,1,1,4,2,4,5,4,1,0,0,1,1,0,0
23,2,152,2,3,2,3,3,2,3,3,1,1,4,4,4,3,0,20,0,0,1,0
59,3,442,5,5,5,5,2,2,1,4,4,4,4,2,4,3,8,0,1,1,1,1
19,3,994,5,0,5,4,5,5,5,5,5,5,4,5,5,5,0,0,1,0,1,1
23,3,612,5,3,5,5,5,5,5,5,5,4,5,4,4,5,29,26,0,1,1,1
46,3,3064,4,4,4,4,5,4,4,4,4,4,4,4,4,3,0,0,0,1,1,1
52,1,954,5,2,2,2,2,2,1,5,5,5,5,4,5,5,0,0,0,1,1,1
34,3,3364,2,3,3,3,3,4,4,2,2,2,2,1,2,4,0,0,1,1,1,0
46,1,843,4,5,4,1,4,4,4,4,4,2,5,4,5,4,0,8,1,1,0,0
56,1,787,1,3,1,2,1,1,1,1,3,1,3,3,3,1,77,93,1,1,0,0
58,3,3266,2,2,4,2,4,5,5,5,3,5,5,5,5,5,394,383,1,1,1,1
36,3,214,4,4,4,3,3,4,5,3,1,4,2,4,2,3,4,3,1,0,1,0
37,3,814,3,3,3,4,3,3,3,3,3,2,5,5,4,3,8,23,1,0,1,1
54,1,583,4,1,1,1,4,4,4,4,4,2,4,1,3,4,13,0,1,1,1,0
35,1,112,4,2,4,4,4,4,4,4,2,2,4,2,3,4,0,2,1,1,1,1
34,3,2506,2,4,4,4,2,4,4,2,2,2,2,4,2,2,0,0,1,1,1,0
41,3,1635,4,4,2,4,5,5,4,5,5,5,5,4,5,5,0,0,1,1,1,1
18,1,239,5,4,5,4,1,5,1,1,1,5,1,2,5,1,3,0,0,0,1,1
43,3,404,1,4,1,4,3,4,5,4,4,1,4,3,4,5,0,0,1,1,0,0
28,1,781,2,4,2,2,2,2,2,2,4,4,5,3,4,2,0,0,1,1,0,0
30,1,270,4,4,4,5,2,4,5,2,4,5,5,5,5,2,0,0,1,1,0,1
42,3,3358,5,5,5,5,3,4,4,4,4,4,4,5,4,5,0,0,0,1,1,1
21,1,824,5,5,5,3,5,3,3,4,1,5,5,3,5,3,0,0,0,0,1,1
59,1,468,2,4,2,2,1,2,3,5,5,2,5,5,5,2,4,0,0,1,0,0
8,1,2615,2,4,2,2,2,5,3,5,3,3,5,3,3,3,0,0,1,1,0,0
47,1,191,2,4,4,4,2,2,2,2,4,5,4,1,3,2,3,5,1,1,1,0
39,1,84,2,4,2,1,4,2,4,4,1,3,4,2,4,4,0,0,1,0,1,0
49,2,427,4,4,5,1,2,4,5,3,3,5,3,5,3,3,0,0,0,1,0,0
48,1,302,5,0,5,3,3,5,3,3,5,4,3,3,1,3,0,0,1,0,1,1
46,3,3407,0,0,0,1,2,5,5,5,5,5,5,5,5,4,10,4,0,1,1,1
48,3,1506,1,1,1,1,4,5,5,4,4,4,4,3,4,3,0,0,1,1,1,1
58,3,1810,4,4,4,4,1,2,2,5,5,5,3,2,5,2,0,0,1,1,1,1
22,1,1029,2,2,2,4,1,2,1,1,4,4,4,1,3,1,0,0,1,0,1,0
51,1,86,4,4,4,4,4,4,4,4,4,2,1,2,3,4,14,1,1,1,1,1
27,3,287,2,2,2,3,5,2,5,5,4,2,2,3,3,5,104,91,1,0,1,0
42,1,715,5,1,1,1,5,5,5,5,2,3,1,5,3,5,0,0,1,1,1,1
46,1,449,5,5,5,2,2,4,5,2,2,5,2,5,2,3,0,0,0,1,0,1
50,2,1605,3,5,3,4,3,3,5,5,5,3,1,4,5,5,8,0,0,1,0,0
38,3,368,4,4,4,4,3,5,5,4,4,4,4,5,4,4,12,1,1,1,1,1
17,1,570,5,1,5,4,5,5,5,5,2,1,3,4,4,5,0,0,0,1,0,1
35,3,2650,2,3,1,3,5,2,3,2,2,2,2,2,2,4,45,35,0,1,1,0
27,3,628,1,3,3,3,1,1,1,1,4,1,3,3,4,1,33,48,1,1,1,0
27,1,928,1,1,1,4,4,1,4,4,3,3,4,4,4,4,127,116,1,0,1,0
21,3,1587,4,1,4,4,3,4,3,3,4,4,4,3,4,3,0,0,0,0,1,0
57,2,1608,4,5,4,3,5,5,5,1,1,4,1,4,1,4,0,0,0,1,0,0
37,1,1619,5,4,5,2,2,5,2,2,4,4,1,4,2,2,1,0,1,1,0,1
32,2,328,1,3,1,2,5,1,5,5,3,3,3,5,1,5,0,0,1,1,0,0
57,3,175,3,5,5,5,4,2,3,1,1,2,3,3,1,4,8,0,0,1,1,0
40,3,2657,5,5,5,5,2,2,1,2,2,2,2,3,2,2,67,64,1,1,1,1
21,3,248,5,0,5,3,4,5,4,4,3,5,5,3,4,4,53,58,0,0,1,1
57,3,806,4,4,4,4,4,5,4,4,4,4,4,3,4,5,0,0,1,1,1,1
44,3,1276,4,4,4,3,3,4,3,3,5,4,4,5,5,3,3,4,1,0,1,1
59,1,825,3,5,4,4,4,4,2,4,4,2,4,4,4,4,1,0,1,1,0,0
52,3,1749,3,3,3,3,4,4,5,5,5,5,5,5,5,3,0,6,0,1,1,1
22,1,102,3,2,2,2,3,3,1,3,2,5,4,1,3,3,10,11,0,1,1,0
40,3,2243,2,2,2,2,3,5,5,4,4,4,4,3,4,4,49,47,1,1,1,1
60,1,1035,5,2,5,2,2,4,1,4,4,5,4,1,4,1,9,0,0,1,1,1
59,3,2358,5,5,5,5,2,4,5,4,4,4,4,4,4,5,21,19,1,1,1,1
45,1,1475,3,4,3,4,1,3,1,1,4,5,5,5,4,1,0,0,1,1,0,0
28,1,896,3,4,3,1,3,3,3,3,5,3,5,4,5,3,91,77,1,1,0,0
66,1,451,2,4,5,4,1,5,1,1,3,3,4,4,4,1,3,0,1,1,0,0
17,1,1013,3,4,3,3,1,3,1,1,1,1,4,1,3,1,0,0,0,1,0,0
40,1,2504,4,5,5,1,4,5,4,4,2,3,3,2,4,4,0,0,1,1,0,0
11,1,1210,2,2,2,4,4,2,4,4,3,3,2,3,4,4,91,61,1,0,1,0
69,3,1721,3,1,3,3,2,2,3,3,3,3,3,2,3,2,12,38,0,1,0,0
61,2,404,2,4,2,2,4,2,3,4,4,5,4,4,4,4,0,0,1,1,0,0
64,3,259,2,2,2,3,4,2,4,4,4,1,4,4,4,4,0,4,1,0,1,0
44,1,101,3,0,2,2,3,2,3,3,1,4,1,1,2,3,2,15,0,0,1,0
43,3,3103,3,1,4,1,3,2,3,3,3,3,3,2,3,1,0,0,1,1,1,0
23,1,1266,2,1,1,2,2,1,2,2,3,4,4,5,5,2,0,2,0,0,1,0
51,1,297,4,4,4,3,4,5,5,4,4,4,4,3,4,5,22,13,0,1,0,0
49,3,377,4,4,4,4,3,5,5,5,5,5,5,3,5,4,13,6,0,1,1,1
48,1,1086,5,1,1,1,5,5,5,5,4,5,1,3,1,5,0,3,1,1,1,1
24,1,227,2,5,2,3,3,2,3,3,5,4,4,4,5,3,0,0,1,1,0,0
26,3,1846,3,3,1,3,5,5,5,5,4,5,5,4,4,5,11,1,0,1,1,1
30,1,692,1,5,1,2,3,1,3,3,3,4,5,5,4,3,0,0,1,1,0,0
59,1,541,3,5,3,1,2,5,4,2,2,3,3,4,2,3,0,0,0,1,0,0
12,2,247,3,2,3,3,1,3,1,1,4,5,4,3,4,1,11,13,0,1,0,0
22,3,2109,1,1,1,1,1,1,1,1,4,2,4,2,3,1,9,36,0,1,1,0
39,2,783,2,5,2,5,2,2,2,2,3,2,2,2,1,2,0,0,1,1,1,1
60,3,337,2,2,2,2,4,5,2,4,4,4,4,4,4,1,0,0,0,1,1,1
42,1,762,3,4,4,4,3,4,4,3,3,3,3,4,3,1,21,38,0,1,1,0
38,1,319,3,3,3,4,3,1,1,1,1,3,3,1,4,1,112,135,0,0,1,0
