Inflight wifi service,Online boarding,Age,Flight Distance,Baggage handling,Checkin service,Loyal Customer,Seat comfort,Business Travel,Inflight entertainment
2,2,26,2062,3,3,1,2,1,2
5,4,52,680,4,4,1,4,1,4
3,3,28,188,4,4,1,3,0,3
3,4,54,453,3,4,1,4,1,3
4,4,40,775,3,3,1,4,1,4
5,4,79,2727,5,2,1,4,1,5
2,2,41,1192,3,4,1,3,0,3
0,0,24,1506,5,3,0,4,1,4
5,5,49,680,1,2,1,5,1,5
2,2,40,488,4,4,1,2,0,4
3,3,59,802,3,3,1,5,0,5
2,2,40,3797,2,2,1,2,1,2
5,5,21,1075,4,5,0,2,1,2
4,4,57,2938,2,4,1,5,1,2
3,3,28,971,3,3,0,2,1,2
3,4,25,2744,5,4,1,5,1,5
4,4,41,1075,4,2,1,5,1,5
3,3,22,228,4,4,1,5,0,3
4,3,49,3982,4,4,1,3,1,4
2,2,29,404,4,2,1,5,0,2
2,2,48,991,5,4,1,4,0,4
3,3,9,351,2,4,1,3,0,2
3,4,49,1096,4,5,1,4,1,4
2,3,49,1514,2,3,1,4,1,2
2,2,30,302,1,3,0,4,1,4
4,0,42,187,4,4,1,3,0,3
2,2,17,1184,5,4,1,3,0,3
2,2,32,680,4,3,0,1,1,3
4,4,44,128,3,4,1,4,1,4
1,4,27,280,5,4,1,4,1,4
1,1,43,239,4,3,1,1,1,1
1,1,28,621,2,5,1,3,0,3
5,5,46,1440,4,4,1,4,1,4
2,4,37,574,4,1,1,1,1,4
1,1,25,626,2,3,1,4,0,4
3,3,24,1276,5,5,0,1,1,1
0,5,53,328,5,3,1,4,1,5
0,0,23,746,5,4,0,4,1,4
1,1,12,546,3,1,1,2,0,2
4,4,33,1735,5,4,1,4,1,5
1,1,40,224,4,4,1,1,1,1
0,4,41,2783,3,5,1,4,1,3
0,0,10,1009,4,2,1,4,0,4
4,4,42,404,1,5,0,3,1,2
1,1,7,1514,3,4,1,1,1,1
5,4,52,1090,4,5,1,5,1,4
4,4,15,562,4,1,0,3,1,3
4,4,24,202,1,3,0,3,1,3
1,4,52,585,4,3,1,4,1,4
4,5,65,451,5,3,1,4,0,1
3,3,28,991,5,5,1,2,0,2
0,0,20,1034,1,3,1,5,1,5
3,3,34,1608,3,5,1,2,0,1
4,4,31,678,4,5,1,5,0,5
5,4,26,2075,3,4,1,4,1,4
4,2,57,321,2,3,1,4,0,2
1,1,39,590,4,3,1,4,0,5
1,4,52,1156,4,2,1,4,0,4
3,3,26,253,2,4,0,3,1,3
5,4,57,2973,4,5,1,5,1,4
3,3,30,323,1,4,1,1,0,1
5,3,56,109,5,4,1,1,1,5
3,2,8,1620,3,3,1,2,1,2
5,4,42,3648,4,3,1,5,1,4
1,4,57,1635,4,4,1,5,1,4
3,5,53,1504,3,3,1,4,1,3
2,2,44,1464,2,3,1,2,1,2
3,4,60,1624,3,2,1,3,1,3
3,4,59,2021,4,5,1,4,1,4
3,2,36,2724,3,4,1,5,1,5
1,1,69,2239,3,3,1,5,0,5
2,2,30,1546,4,1,1,2,1,2
3,4,28,1337,4,5,1,4,1,4
3,3,39,197,3,3,1,3,1,2
5,5,22,1674,4,5,1,5,1,5
3,3,23,371,1,2,1,5,0,5
1,4,57,187,4,3,1,1,1,4
1,4,58,479,3,5,1,5,1,3
3,3,41,813,4,1,1,3,1,3
4,4,29,622,3,2,0,5,1,5
5,5,25,813,5,4,0,5,1,5
2,2,44,1068,3,4,1,2,1,2
3,4,34,3141,4,4,1,4,1,3
2,2,62,1009,5,3,1,4,0,5
3,5,51,3382,4,5,1,5,1,4
2,5,39,528,5,4,1,5,1,5
3,3,47,125,3,3,1,1,1,3
4,4,26,491,4,3,1,4,1,4
3,5,59,1979,5,2,1,5,0,5
2,2,16,957,4,3,1,4,1,2
4,4,51,1097,1,4,1,4,1,4
2,2,34,757,5,4,1,4,0,4
3,3,27,1068,4,1,0,2,1,2
2,2,63,209,3,2,1,2,1,2
1,5,59,1626,5,3,1,4,1,5
3,3,30,413,4,3,1,3,0,3
4,4,30,866,2,1,1,4,1,4
3,3,54,2239,4,3,1,3,1,3
3,4,28,3841,2,4,1,4,1,4
5,4,17,2595,4,3,1,4,1,4
